Date,Country,Tests,Day+,Day-
05-04-2020,US,151200,28799,122401
06-04-2020,US,152905,30483,122422
07-04-2020,US,144231,30000,114231
08-04-2020,US,165886,34325,131561
09-04-2020,US,157988,34422,123566
10-04-2020,US,139247,30966,108281
11-04-2020,US,140553,27866,112687
12-04-2020,US,133221,25121,108100
13-04-2020,US,150742,26014,124728
14-04-2020,US,136727,30332,106395
15-04-2020,US,162576,31082,131494
16-04-2020,US,158201,31891,126310
17-04-2020,US,142139,27979,114160
18-04-2020,US,160569,27424,133145
19-04-2020,US,146177,25309,120868
20-04-2020,US,148926,26008,122918
21-04-2020,US,316805,28642,288163
22-04-2020,US,194712,31801,162911
23-04-2020,US,234959,34245,200714
24-04-2020,US,279527,35925,243602
25-04-2020,US,207314,27134,180180
26-04-2020,US,197249,21147,176102
27-04-2020,US,205176,25111,180065
28-04-2020,US,233623,27186,206437
29-04-2020,US,230613,29368,201245
30-04-2020,US,296881,33222,263659
01-05-2020,US,250403,29838,220565
02-05-2020,US,240881,25993,214888
03-05-2020,US,233820,21639,212181
04-05-2020,US,260818,22121,238697
05-05-2020,US,246132,25099,221033
06-05-2020,US,304305,27506,276799
07-05-2020,US,299269,27697,271572
08-05-2020,US,293553,25149,268404
09-05-2020,US,271207,21799,249408
10-05-2020,US,384644,17345,367299
11-05-2020,US,304745,21483,283262
12-05-2020,US,296025,20491,275534
13-05-2020,US,376751,26951,349800
14-05-2020,US,362941,24488,338453
15-05-2020,US,352936,25032,327904
16-05-2020,US,402808,20778,382030
17-05-2020,US,345702,19839,325863
18-05-2020,US,396791,20940,375851
19-05-2020,US,405404,21342,384062
20-05-2020,US,416546,25903,390643
21-05-2020,US,394296,24159,370137
22-05-2020,US,365728,22298,343430
23-05-2020,US,378908,20806,358102
24-05-2020,US,441248,19069,422179
25-05-2020,US,302099,16206,285893
26-05-2020,US,285440,18595,266845
